,author,statement,source,date,target
0,Brandon Mulder,"“In Texas, the power companies have automatically raised the temperature of people's thermostats in the middle of a heatwave without their permission.""",Tucker Carlson,"July 9, 2021",false
2,Emily Tian,Charcoal activated tablets “will counteract most date rape drugs.”,Facebook posts,"July 9, 2021",false
4,Gabrielle Settles,"Says George Floyd died ""because he had a system full of fentanyl and meth,"" and “beat women and held guns to their pregnant bellies.”",Facebook posts,"July 8, 2021",false
6,Louis Jacobson,"""The person that shot Ashli Babbitt — boom — right through the head — just boom — there was no reason for that.""",Donald Trump,"July 8, 2021",false
7,Ciara O'Rourke,“Facebook said that if you support the NRA you will get kicked off.”,Facebook posts,"July 8, 2021",false
8,Michael Majchrowicz,Jill Biden implied the COVID-19 pandemic was planned.,Instagram posts,"July 8, 2021",false
9,Ciara O'Rourke,Says the Wyoming State Parks Department said it “discovered what looks like a giant root system stemming from the base of the Devils Tower.”,Facebook posts,"July 8, 2021",false
10,Tom Kertscher,"The Pfizer COVID-19 vaccine is ""99% graphene oxide,"" which is ""toxic to the human body and causes a number of problems.",Facebook posts,"July 8, 2021",false
14,Ciara O'Rourke,Says Nancy Pelosi “won’t let Capitol police testify about what happened Jan. 6.”,Facebook posts,"July 7, 2021",false
17,Samantha Putterman,Members of the US Women’s National Soccer team turned their backs on the flag as a 98-year-old World War II veteran played the anthem.,Facebook posts,"July 6, 2021",false
18,Ciara O'Rourke,“Rebecca Washington is set to replace Sha’Carri Richardson on the U.S. Olympic team.”,Viral image,"July 6, 2021",false
19,Natalie Dunlap,"The “Back the Blue” Act that Gov. Kim Reynolds signs means you can't wear the American flag. ""So throw out those towels and swimsuits ... or you’re a criminal!""",Greg Hauenstein,"July 6, 2021",false
20,Ciara O'Rourke,“‘LOL’ stands for ‘Lucifer our Lord.’ Satanists end their prayers by saying ‘Lucifer our Lord’.”,Viral image,"July 6, 2021",false
21,D.L. Davis,“In 2020 we won (Wisconsin).”,Donald Trump,"July 6, 2021",pants-fire
22,Laura Schulte,Says Republican leaders “are working hard to cover up election corruption in Wisconsin.”,Donald Trump,"July 5, 2021",pants-fire
23,Kiannah Sepeda-Miller,Cook County’s criminal courts “have been shut down for 15 months.”,Lori Lightfoot,"July 4, 2021",false
25,Sasha Hupka,“California literally just told everyone to not charge their electric cars due to power shortage.”,Facebook posts,"July 2, 2021",false
26,Samantha Putterman,Says the Make-A-Wish Foundation will grant wishes only to fully vaccinated children.,Instagram posts,"July 2, 2021",false
27,Bill McCarthy,"A Marine painted his house red, white and blue after he ""was told by his neighbors that he could not fly the American flag in his yard all year long.""",Facebook posts,"July 2, 2021",false
29,Brandon Mulder,"“Carnage"" is being caused ""by people who are coming across the border.""",Greg Abbott,"July 2, 2021",false
32,Samantha Putterman,A video shows an animal chip scanner detecting a microchip where a woman was vaccinated.,Instagram posts,"July 1, 2021",pants-fire
33,Bill McCarthy,“Muslim BTS fan accidentally plays the song 'Dynamite' instead of Azaan on loudspeakers at 4am; gets arrested.”,Instagram posts,"July 1, 2021",pants-fire
35,Kelsey Sena,Says Nancy Pelosi “said Trump is BEST PRESIDENT ever” and “holds new election” for him,Facebook posts,"• June 30,",pants-fire
36,Gabrielle Settles,A photo shows Mike Tyson wearing a T-shirt with an anti-vaccine message.,Facebook posts,"June 30, 2021",false
37,Tom Kertscher,“CDC officials admit more hospitalizations of young people from vaccine than from the actual COVID virus.”,Instagram posts,"June 30, 2021",false
39,Amy Sherman,“Military ready to act on audit results!” in Arizona,Facebook posts,"June 29, 2021",false
40,Amy Sherman,“Facts have now come out to show conclusively” that the 2020 presidential election wasn’t legitimate.,Donald Trump,"June 29, 2021",pants-fire
41,Jason Asenso,"Funeral directors say “no one is dying from COVID” and ""the only ones dying are from the vaccine.""",Instagram posts,"June 29, 2021",false
42,Tom Kertscher,Says John McAfee tweeted before his death that he stored computer files in the Florida condo building that later collapsed.,Instagram posts,"June 28, 2021",false
43,Kelsey Sena,“Airlines begin to ban vaccinated people after Pilots die due to vaccine”,Facebook posts,"• June 28,",false
45,Kiannah Sepeda-Miller,“Prairie State power plant is the cleanest coal-fired power plant in the nation.”,Rodney Davis,"June 27, 2021",pants-fire
46,Michael Majchrowicz,A flag expressing support for police officers violates the U.S. Flag Code.,Facebook posts,"June 25, 2021",false
47,Jon Greenberg,"""The Second Amendment, from the day it was passed, limited the type of people who could own a gun and what type of weapon you could own.”",Joe Biden,"June 25, 2021",false
48,Samantha Putterman,Says the U.S. government caused the coronavirus pandemic because it sent mRNA coronavirus vaccine candidates to university researchers weeks before the COVID-19 outbreak.,Bloggers,"June 25, 2021",false
49,Tom Kertscher,Says Ivanka Trump was targeted in the Florida condominium building collapse.,Facebook posts,"June 25, 2021",false
50,Ciara O'Rourke,"Says Gov. Ron DeSantis “just signed legislation requiring students, faculty and staff at Florida’s public universities and colleges to register their political views with the state.”",Viral image,"June 25, 2021",false
51,Tom Kertscher,mRNA technology in COVID-19 vaccines was never tested in humans.,Instagram posts,"June 25, 2021",false
52,Brandon Mulder,"The intent behind the bill recognizing Juneteenth as a federal holiday ""is to replace the Fourth of July.”",Matthew Rosendale,"June 25, 2021",pants-fire
53,Emily Tian,Says Eric Trump said he “raised nearly $30 million for children dying of cancer at St. Jude before the age of 30.”,Instagram posts,"June 25, 2021",false
