,author,statement,source,date,target
0,Gabrielle Settles,Says President Joe Biden was recorded talking about bank collapse.,TikTok posts,"March 20, 2023",pants-fire
1,Samantha Putterman,“BREAKING: ANTHONY FAUCI is set to be arrested!!!”,Instagram posts,"March 20, 2023",pants-fire
2,Ciara O'Rourke,Photo shows former President Donald Trump detained by police.,Tweets,"March 20, 2023",false
3,Grace Abels,"“USA gives final warning to Uganda to legalize homosexuality,” or no aid.",Facebook posts,"March 17, 2023",false
4,Samantha Putterman,Kari Lake called Trump the “fattest president since Taft” in a 2016 tweet.,Tweets,"March 16, 2023",false
5,Andy Nguyen,"""We’re just burning 300 gallons of jet fuel to de-ice this clean energy wind turbine … that needs 80 gallons of synthetic oil to operate.""",Facebook posts,"March 16, 2023",false
6,Gabrielle Settles,Monster Energy’s logo uses a sign of the anti-Christ as part of its marketing effort.,Facebook posts,"March 15, 2023",pants-fire
7,Amy Sherman,A $2 million grant for Georgia’s DeKalb County amounts to a “private takeover of election offices.”,Facebook posts,"March 15, 2023",false
8,Amy Sherman,“More cops are killed responding to domestic violence calls than anything else.”,Joe Biden,"March 15, 2023",false
9,Ciara O'Rourke,“Elon Musk bans Greta Thunberg from Twitter.”,Bloggers,"March 15, 2023",false
10,Ciara O'Rourke,“Russian dementia care facilities are using Biden on their poster.”,Viral image,"March 15, 2023",false
11,Ciara O'Rourke,“Clinton ally mysteriously dies.”,Facebook posts,"March 15, 2023",false
12,Loreben Tuquero,Photos of the Statue of Liberty taken in 1920 and 2020 show that the sea level hasn’t changed.,Instagram posts,"March 14, 2023",false
13,Ciara O'Rourke,Video shows U.S. Secret Service agents are demons.,Viral image,"March 14, 2023",pants-fire
14,Ciara O'Rourke,“Emergency injunction and tribunal order was served to WHO … to immediately cease and desist a criminal conspiracy to commit war crimes.”,Viral image,"March 14, 2023",pants-fire
15,Paul Specht,“The left is determined to erase Mount Rushmore from our history books.”,North Carolina Republican Party,"March 14, 2023",false
16,Ciara O'Rourke,Audio captures former Presidents Donald Trump and Barack Obama debating Michelle Obama’s gender.,Viral image,"March 14, 2023",false
17,Ciara O'Rourke,"Elon Musk tweeted, “The world is flat.”",Viral image,"March 13, 2023",false
18,Ciara O'Rourke,“The Simpsons” predicted money missing from Bank of America customers’ accounts in January.,Viral image,"March 13, 2023",false
19,Ciara O'Rourke,“Harry could be exiled to Botswana after he was deported from the United States due to an expired visa.”,Facebook posts,"March 13, 2023",pants-fire
20,Ciara O'Rourke,“‘The View’ settles with the Rittenhouses for $22 million and a formal apology.”,Bloggers,"March 13, 2023",false
21,Gabrielle Settles,"The 2017 Unite the Right rally in Charlottesville, Virginia, was “an American intel op against Trump.”",Scott Adams,"March 10, 2023",pants-fire
22,Madison Czopek,Video shows that certain drinks can “test positive” for COVID-19 when using at-home COVID-19 tests.,Facebook posts,"March 10, 2023",false
23,Ciara O'Rourke,The White House Visitor Center is displaying a photo of a fake President Joe Biden.,Facebook posts,"March 9, 2023",pants-fire
24,Ciara O'Rourke,President Joe Biden is “in Gitmo.”,Facebook posts,"March 9, 2023",pants-fire
25,Amy Sherman,"The 2020 election could not have been fair because “Los Angeles County agreed, during litigation, that there were 1.2 million ineligible voters after the election.”",Donald Trump,"March 9, 2023",false
26,Ciara O'Rourke,“Elon Musk to acquire Facebook soon.”,Bloggers,"March 9, 2023",false
27,Ciara O'Rourke,“Ashli Babbitt is alive and well.”,Instagram posts,"March 9, 2023",false
28,Ciara O'Rourke,Video shows Elon Musk endorsing “an anti-aging remedy.”,Viral image,"March 9, 2023",false
29,Ciara O'Rourke,Elon Musk banned U.S. Rep. Alexandria Ocasio-Cortez from Twitter.,Facebook posts,"March 9, 2023",pants-fire
30,Ciara O'Rourke,Vladimir Putin “orders destruction of all COVID-19 vaccines in Russia.”,Bloggers,"March 9, 2023",pants-fire
31,Ciara O'Rourke,Bill Gates claims to be a “valid representative of the pharmaceutical industry” because he “read a lot of books about that topic.”,Viral image,"March 9, 2023",false
32,Ciara O'Rourke,“Crowd erupts as Chip Roy grills Kamala Harris as she lies in Congress” in video.,Facebook posts,"March 8, 2023",pants-fire
33,Ciara O'Rourke,“The January 6 committee disbanded immediately after the new footage was released.”,Facebook posts,"March 8, 2023",false
34,Ciara O'Rourke,“Bill Gates arrest warrant issued in Philippines for ‘premeditated murder’ linked to vaccine roll out.”,Instagram posts,"March 8, 2023",pants-fire
35,Ciara O'Rourke,U.S. Sen. Josh Hawley made U.S. Attorney General Merrick Garland cry at a committee hearing.,Facebook posts,"March 8, 2023",false
36,Madison Czopek,Capitol Police officers “helped” QAnon Shaman Jacob Chansley and “acted as his tour guides.”,Tucker Carlson,"March 7, 2023",pants-fire
37,Gabrielle Settles,"“The five people that died in that plane crash … were supposed to go to Ohio to test the water, the soil and the air quality in East Palestine.”",Facebook posts,"March 7, 2023",false
38,Ciara O'Rourke,The United Kingdom’s “Parliament closed its borders to prevent Harry and Meg from flying to the UK in order to protect the king.”,Facebook posts,"March 7, 2023",pants-fire
39,Laura Schulte,“Tammy Baldwin wants to take away” Medicare and Social Security.,National Republican Senatorial Committee,"March 7, 2023",false
40,Madison Czopek,“The moon is a habitable place.”,Facebook posts,"March 6, 2023",pants-fire
41,Gabrielle Settles,“Breaking: John Fetterman RESIGNATION Announcement.”,Instagram posts,"March 6, 2023",false
42,Madison Czopek,Says Ukrainian President Volodymyr Zelenskyy said he wants America’s “sons and daughters to go die in Ukraine.”,Marjorie Taylor Greene,"March 3, 2023",false
43,Loreben Tuquero,"In Ohio, “there are 75,000 acres of farmland, fertile farmland, that are all now being poured down with acid rain.”",Facebook posts,"March 3, 2023",false
44,Gabrielle Settles,“Muslims by the millions are converting to Christianity.”,Facebook posts,"March 3, 2023",false
45,Loreben Tuquero,"Digital IDs were given to residents in East Palestine, Ohio, “to track long term health problems like difficulty breathing” before the Feb. 3 train derailment.",Instagram posts,"March 2, 2023",false
46,Madison Czopek,"The Justice Department has been “calling parents that are concerned about what their kids are being taught, they are labeling them terrorists.”",Kat Cammack,"March 2, 2023",false
47,Ciara O'Rourke,“Official govt docs expose Michelle Obama’s 14 year history as a man.”,Facebook posts,"February 28, 2023",pants-fire
48,Jeff Cercone,"""Woody Harrelson’s 60 seconds in the middle of his monologue was cut out of the edits released after the show.”",Instagram posts,"February 28, 2023",false
49,Ciara O'Rourke,“BREAKING Trump preps Marines to stop presidential coup.”,Facebook posts,"February 28, 2023",false
50,Ciara O'Rourke,Video shows President Joe Biden recalling an alien encounter.,Facebook posts,"February 28, 2023",false
51,Tom Kertscher,"Rifles “were involved in 297 deaths” in the U.S. in 2022 and “constipation killed 2,167.”",Instagram posts,"February 28, 2023",false
52,Sara Swann,Drinking or using tap water treated with chlorine is dangerous because “chlorine is a poison.”,Facebook posts,"February 28, 2023",false
53,Ciara O'Rourke,Joe Biden described America as “the foothills of the Himalayas with Xi Jinping.”,Viral image,"February 28, 2023",false
54,Ciara O'Rourke,"Kid Rock tweeted, “Some people wouldn’t recognize tyranny if it slapped a mask on their face, made them stand 6 feet apart, and forced them to take a vaccine for a virus with a 99.8% survival rate.”",Instagram posts,"February 27, 2023",false
55,Ciara O'Rourke,Photos of an apartment building in Kyiv are evidence the war in Ukraine “is fake.”,Viral image,"February 27, 2023",pants-fire
56,Ciara O'Rourke,Former President Donald Trump “was the 1st president in U.S. history to acknowledge that children are being sold for sex in the U.S.” while President Joe Biden “rescinded Trump’s executive order that helped combat child sex trafficking.”,Viral image,"February 27, 2023",false
